x,alpha_max_M_2.6Msun_delta_0.001,alpha_max_M_2.6Msun_delta_0.01,alpha_max_M_3.0Msun_delta_0.001,alpha_max_M_3.0Msun_delta_0.01
1e-06,1.5451271841472663e+45,1.5451271841472664e+46,2.0571219907286092e+45,2.0571219907286088e+46
1.039255682936713e-06,1.1800688467811328e+45,1.180068846781133e+46,1.5710975770754724e+45,1.5710975770754722e+46
1.080052374516254e-06,9.012607463185484e+44,9.012607463185486e+45,1.1999033604832742e+45,1.1999033604832745e+46
1.1224505680853058e-06,6.8832503514054275e+44,6.883250351405429e+45,9.164090704533851e+44,9.164090704533852e+45
1.1665131316981962e-06,5.256984224222162e+44,5.2569842242221624e+45,6.9989434937869e+44,6.9989434937869e+45
1.2123054013376528e-06,4.014946665268138e+44,4.01494666526814e+45,5.345343193404327e+44,5.3453431934043265e+45
1.2598952777950284e-06,3.066358197659854e+44,3.066358197659855e+45,4.082429553097439e+44,4.082429553097439e+45
1.3093533273536097e-06,2.3418872895468862e+44,2.3418872895468863e+45,3.1178972789825406e+44,3.11789727898254e+45
1.3607528864243332e-06,1.788582971575365e+44,1.788582971575365e+45,2.3812495183695686e+44,2.3812495183695686e+45
1.414170170289024e-06,1.3660046956366015e+44,1.3660046956366014e+45,1.818645304841629e+44,1.818645304841629e+45
1.4696843861124474e-06,1.043266569602431e+44,1.0432665696024311e+45,1.3889643678138872e+44,1.3889643678138871e+45
1.5273778503907125e-06,7.96779933702755e+43,7.96779933702755e+44,1.060801686882366e+44,1.0608016868823659e+45
1.5873361110102087e-06,6.085292853887551e+43,6.0852928538875514e+44,8.101721255175732e+43,8.10172125517573e+44
1.6496480740980203e-06,4.647555415076172e+43,4.647555415076171e+44,6.187573777468275e+43,6.187573777468275e+44
1.714406135851972e-06,3.5495039854786247e+43,3.549503985478625e+44,4.725670986583968e+43,4.725670986583967e+44
1.781706319545729e-06,2.7108828960562886e+43,2.7108828960562886e+44,3.6091636190098513e+43,3.6091636190098514e+44
1.851648417912154e-06,2.0703980246228067e+43,2.070398024622807e+44,2.7564470742019614e+43,2.7564470742019606e+44
1.92433614111598e-06,1.5812368600100906e+43,1.5812368600100907e+44,2.1051970029720135e+43,2.1051970029720136e+44
1.9998772705352867e-06,1.2076470149289768e+43,1.2076470149289767e+44,1.6078140731302941e+43,1.6078140731302942e+44
2.078383818579755e-06,9.223231139405899e+42,9.2232311394059e+43,1.2279449741812587e+43,1.2279449741812587e+44
2.159972194782717e-06,7.044110663994996e+42,7.044110663994996e+43,9.378253842596886e+42,9.378253842596887e+43
2.244763378413224e-06,5.379838583710551e+42,5.379838583710552e+43,7.162506990147182e+42,7.162506990147182e+43
2.3328830978641584e-06,4.108774604446798e+42,4.1087746044467976e+43,5.4702620473404105e+42,5.4702620473404105e+43
